sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
MB.0316	0.119515511	0.158643272	0.21167221	0.136101803	0.045463617	0.518496257
MB.0658	0.09315282	0.131848275	0.227407253	0.125790701	0.065625684	0.524245725
MB.0420	0.06441717	0.105676942	0.179295042	0.123325301	0.072081796	0.502347072
MB.0906	0.12673814	0.136116538	0.219520891	0.138720863	0.078224737	0.535779332
MB.0249	0.067743805	0.111796364	0.170332221	0.11667756	0.075308103	0.50056815
MB.0660	0.069555967	0.104354603	0.169418231	0.115455588	0.086798358	0.475844906
MB.0653	0.066752932	0.094502822	0.178090759	0.114848335	0.074924956	0.456224014
MB.0540	0.198925069	0.297348312	0.270182774	0.14675553	0.058921104	0.59514402
MB.0157	0.082398182	0.127144683	0.216258439	0.139956742	0.057562822	0.541730729
MB.0292	0.063149066	0.102643827	0.156741989	0.111984645	0.076454537	0.466693432
MB.0401	0.069204215	0.105706945	0.19053648	0.117259706	0.06765601	0.491030623
MB.0453	0.061242125	0.095364273	0.185684072	0.113153882	0.056066362	0.471799885
MB.0372	0.087523434	0.107368215	0.197752266	0.123777127	0.043504251	0.511241808
MB.0164	0.071428183	0.137008528	0.174200329	0.152016169	0.076019406	0.536679131
MB.0516	0.068938622	0.10185754	0.157697041	0.13189267	0.046171409	0.498732458
MB.0494	0.079722475	0.116184664	0.202104924	0.147329489	0.094730119	0.540331516
MB.0221	0.111412288	0.10622314	0.192273454	0.102883794	0.072825951	0.459741423
MB.0659	0.076862099	0.0872047	0.155993024	0.094779326	0.041983242	0.419679903
MB.0432	0.073099852	0.135796903	0.232349792	0.142120037	0.186895731	0.603372242
MB.0352	0.090747076	0.12675577	0.254808864	0.136656451	0.094805438	0.54396278
MB.0158	0.098130577	0.11317555	0.202761655	0.120471916	0.072056159	0.49899328
MB.0400	0.064895399	0.115886384	0.17746051	0.122845024	0.078590416	0.506235824
MB.0500	0.066086578	0.127947097	0.134819267	0.123453024	0.055807026	0.475009967
MB.0206	0.079588849	0.124811398	0.247678421	0.154194013	0.075893674	0.548224168
MB.0635	0.066943169	0.128559059	0.235284438	0.149138267	0.169849377	0.620450888
MB.0581	0.062690531	0.121387863	0.124573775	0.113985114	0.046575121	0.461038258
MB.0613	0.057249134	0.118925858	0.210026468	0.139294169	0.142835883	0.520927212
MB.0214	0.074670551	0.114242304	0.185886577	0.12204431	0.035859735	0.51966648
MB.0664	0.066657695	0.138085503	0.137746258	0.133117535	0.027918188	0.491094301
MB.0446	0.061238527	0.122819583	0.173559006	0.149993043	0.096858535	0.536710638
MB.0424	0.070881628	0.114932569	0.215420699	0.131438006	0.143300187	0.512071049
MB.0115	0.098074183	0.126272092	0.174078969	0.116568882	0.032244894	0.477310865
MB.0354	0.10640455	0.147186181	0.299301743	0.149677305	0.078295403	0.576222533
MB.0608	0.156015503	0.102300095	0.218453199	0.135452998	0.076221749	0.501226919
MB.0893	0.060148861	0.120502298	0.26364834	0.151326806	0.160948602	0.617080237
MB.0294	0.081931764	0.135273583	0.191444264	0.127565977	0.060845263	0.513358431
MB.0481	0.084192996	0.114765387	0.176267536	0.117093247	0.060219107	0.480851317
MB.0220	0.146924336	0.198651341	0.260687792	0.139552057	0.071564933	0.573849567
MB.0238	0.117877514	0.126016163	0.216068368	0.137957124	0.051658167	0.512518628
MB.0525	0.057234242	0.117674556	0.142790424	0.118638851	0.043065318	0.470695848
MB.0869	0.057898276	0.111955339	0.181456355	0.130592047	0.030487026	0.501395847
MB.4622	0.091344058	0.12328563	0.237923243	0.125322492	0.057662209	0.529966545
MB.4640	0.072630403	0.114855591	0.175872933	0.103213903	0.072091718	0.443043772
MB.4667	0.121127627	0.154684836	0.254508848	0.122802874	0.059646428	0.505620073
MB.4717	0.074363789	0.113474611	0.13877738	0.113588992	0.058561864	0.454841365
MB.4757	0.087678517	0.138942534	0.176169322	0.1175195	0.04667599	0.495572879
MB.4715	0.078953664	0.126115538	0.169676583	0.122993271	0.0230179	0.494141474
MB.5281	0.082790182	0.105395692	0.152502425	0.097904869	0.048715167	0.439768947
MB.4982	0.080706929	0.127722108	0.170498483	0.112733846	0.047788875	0.460463368
MB.5323	0.177099504	0.181958151	0.246743678	0.144546145	0.058899958	0.552711774
MB.4911	0.068140267	0.132989978	0.146092561	0.126573164	0.029444299	0.498212633
MB.4888	0.090740597	0.129529745	0.193983566	0.130775312	0.053747533	0.516321457
MB.4945	0.097974348	0.138314312	0.169528239	0.108389979	0.029993122	0.476194817
MB.5052	0.154713563	0.161235876	0.25674649	0.136110853	0.073233527	0.540075038
MB.5041	0.126964786	0.194541759	0.267238481	0.13984447	0.054937435	0.567790104
MB.5072	0.08007695	0.093034299	0.175964171	0.098460187	0.080311202	0.44753065
MB.5115	0.096985681	0.124501977	0.154617063	0.10966392	0.036421485	0.461619567
MB.4733	0.14306562	0.167708305	0.229044062	0.125370295	0.051540813	0.527893018
MB.4758	0.076989037	0.095498746	0.159413294	0.105787723	0.008691467	0.455533949
MB.4732	0.097260451	0.124847154	0.191751999	0.122412545	0.032933056	0.497804859
MB.5236	0.144116853	0.177177778	0.165575799	0.121914411	0.030293238	0.495784767
