sampleID	B_cell	T_cell.CD4	T_cell.CD8	Neutrophil	Macrophage	DC
Pt101_On	0.134227	0.154658	0.200384	0.121474	0.032764	0.519809
Pt101_Pre	0.138634	0.153825	0.199936	0.122553	0.032635	0.518600
Pt103_On	0.099002	0.122801	0.189085	0.117072	0.034571	0.501882
Pt103_Pre	0.112230	0.131384	0.204933	0.119430	0.046118	0.522161
Pt105_On	0.104953	0.130454	0.210719	0.120323	0.040579	0.508761
Pt106_On	0.095456	0.125184	0.193514	0.118416	0.040646	0.503388
Pt106_Pre	0.096205	0.128519	0.193376	0.118027	0.042571	0.504373
Pt108_On	0.105846	0.126458	0.198957	0.121493	0.045800	0.507905
Pt109_On	0.106737	0.125633	0.196325	0.117456	0.046022	0.500045
Pt109_On.2	0.105752	0.124385	0.194025	0.117373	0.043543	0.498814
Pt10_On	0.100327	0.121233	0.192748	0.120049	0.047827	0.505696
Pt10_Pre	0.103525	0.115670	0.184627	0.117859	0.042257	0.492048
Pt11_On	0.101524	0.126557	0.205077	0.119878	0.039348	0.515390
Pt11_Pre	0.099684	0.126448	0.203371	0.119823	0.040793	0.514844
Pt13_On	0.104766	0.127790	0.207122	0.120235	0.044414	0.509092
Pt16_On	0.098964	0.114106	0.181114	0.117736	0.043751	0.487915
Pt17_On	0.094603	0.112153	0.185055	0.118389	0.045509	0.482295
Pt17_Pre	0.095182	0.111995	0.184642	0.118293	0.044603	0.484426
Pt18_On	0.136692	0.145798	0.206472	0.120030	0.037991	0.516125
Pt18_Pre	0.125958	0.134708	0.200008	0.122252	0.038038	0.509426
Pt1_On	0.099789	0.124365	0.197965	0.118218	0.040542	0.499576
Pt1_Pre	0.105583	0.129895	0.203410	0.119372	0.041900	0.511988
Pt23_On	0.106064	0.128865	0.205465	0.118709	0.041412	0.505104
Pt23_Pre	0.103927	0.128226	0.198734	0.120768	0.044541	0.510218
Pt24_Pre	0.111975	0.126433	0.202923	0.124512	0.055498	0.521626
Pt26_On	0.095864	0.118038	0.187705	0.119724	0.034857	0.492710
Pt26_Pre	0.101630	0.118486	0.192270	0.118847	0.037203	0.492249
Pt27_On	0.100952	0.122247	0.201447	0.119655	0.046739	0.506584
Pt27_Pre	0.105059	0.122717	0.199640	0.121857	0.044308	0.500266
Pt28_On	0.107875	0.129593	0.210984	0.118544	0.040984	0.511320
Pt28_Pre	0.107732	0.118728	0.203257	0.116980	0.039345	0.500730
Pt29_Pre	0.107355	0.123831	0.192943	0.118789	0.045039	0.503033
Pt2_On	0.095823	0.125402	0.201740	0.121045	0.042003	0.513082
Pt2_Pre	0.098966	0.129182	0.202285	0.121157	0.043281	0.515178
Pt30_On	0.108858	0.139320	0.212640	0.124360	0.054793	0.523799
Pt30_Pre	0.100999	0.117944	0.191557	0.117804	0.036154	0.495553
Pt31_On	0.109861	0.130683	0.203366	0.120109	0.043445	0.511130
Pt31_Pre	0.108833	0.127796	0.197965	0.118421	0.039381	0.504419
Pt32_On	0.059291	0.000000	0.242422	0.566591	0.000000	0.489826
Pt34_On	0.105441	0.133156	0.208112	0.122673	0.061376	0.521435
Pt34_Pre	0.105509	0.129685	0.211114	0.122086	0.058867	0.520337
Pt35_On	0.102264	0.131263	0.207381	0.118971	0.047285	0.509642
Pt36_On	0.105366	0.129286	0.198583	0.119978	0.045832	0.515810
Pt36_Pre	0.098313	0.127509	0.190378	0.121341	0.061490	0.507316
Pt37_On	0.095053	0.125769	0.198156	0.126333	0.033965	0.513675
Pt37_On.2	0.097386	0.131688	0.190150	0.131899	0.036717	0.513029
Pt37_Pre	0.097700	0.128703	0.189171	0.117584	0.037287	0.504923
Pt37_Pre.2	0.097992	0.124014	0.195961	0.118486	0.038249	0.509219
Pt38_On	0.096958	0.119471	0.182533	0.117633	0.042271	0.491185
Pt38_Pre	0.096712	0.117259	0.181472	0.117325	0.040933	0.491294
Pt39_Pre	0.092014	0.109903	0.181829	0.118061	0.037955	0.484647
Pt3_On	0.107420	0.125213	0.195992	0.122493	0.032903	0.510549
Pt3_On.2	0.095748	0.127813	0.191614	0.124604	0.033252	0.513691
Pt3_Pre	0.096487	0.121232	0.184597	0.119755	0.035896	0.499091
Pt3_Pre.2	0.094893	0.121140	0.188290	0.120938	0.038220	0.502529
Pt44_On	0.103002	0.131305	0.206597	0.117881	0.047361	0.511654
Pt44_Pre	0.102735	0.123949	0.205379	0.119417	0.043445	0.509428
Pt46_On	0.100626	0.129339	0.206020	0.122410	0.060883	0.522118
Pt46_Pre	0.104498	0.131896	0.203399	0.120881	0.061790	0.520139
Pt47_On	0.096341	0.125380	0.195066	0.119912	0.037659	0.513078
Pt47_Pre	0.100037	0.127048	0.192497	0.120120	0.039679	0.514195
Pt48_On	0.105063	0.128241	0.192385	0.119937	0.049637	0.497615
Pt48_Pre	0.107146	0.126053	0.199274	0.109933	0.050200	0.501765
Pt49_On	0.109790	0.137304	0.213961	0.123238	0.050311	0.514222
Pt49_Pre	0.111734	0.134266	0.203535	0.119335	0.041918	0.515283
Pt4_On	0.109778	0.135693	0.211869	0.120572	0.044078	0.513462
